feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
went to a cookery school,1,0,0,-3,3,2,1,3,1,1,1,0,0.8333333333333334,1.5859229221975182
works a lot on the computer,-2,0,0,1,2,2,2,0,-1,1,0,0,0.4166666666666667,1.2401124093721454
works at a bakery,1,2,2,-3,3,2,1,3,2,2,1,0,1.3333333333333333,1.6143297699232972
works at a company,0,2,0,1,1,-1,3,2,0,2,1,1,1.0,1.1281521496355325
works at a police station,1,2,1,-3,2,3,2,3,2,2,1,0,1.3333333333333333,1.6143297699232972
works at a restaurant,1,2,0,-2,1,-2,1,2,0,2,1,0,0.5,1.381698559415515
works at a school,2,2,1,-1,2,1,1,2,1,2,1,0,1.1666666666666667,0.9374368665610922
works at a tribunal,0,2,0,-3,2,1,1,2,2,2,1,0,0.8333333333333334,1.4668044012461756
works at an institution,1,2,0,-2,2,-2,2,2,1,2,1,0,0.75,1.4847711791873706
works at an office,2,2,1,1,0,2,2,1,2,2,1,0,1.3333333333333333,0.778498944161523
works at night,1,1,1,-2,0,-1,1,2,0,2,1,0,0.5,1.1677484162422844
works for an aircraft company,1,2,1,-3,1,1,1,2,2,2,1,0,0.9166666666666666,1.3789543689024488
works for the state,1,2,1,-1,0,-1,1,2,2,2,1,0,0.8333333333333334,1.1146408580454255
works hard,1,1,1,1,-3,-3,3,0,-2,2,0,1,0.16666666666666666,1.8989630344113089
works in a butcher's,1,2,0,-3,3,1,1,3,2,2,1,0,1.0833333333333333,1.6213537179739275
works in a hospital,2,2,1,-2,2,1,2,2,1,1,1,0,1.0833333333333333,1.164500152881315
works in a kitchen,1,1,1,-2,2,1,1,3,2,2,1,0,1.0833333333333333,1.2401124093721456
works in a pharmacy,1,2,1,-3,3,2,2,3,2,2,2,0,1.4166666666666667,1.621353717973928
works in a shop,-2,2,1,-2,2,1,1,3,-1,1,1,0,0.5833333333333334,1.5642792899510296
works in a team,0,1,2,1,-2,-2,3,1,0,2,1,1,0.6666666666666666,1.497472618255253
works in an office,1,1,1,1,1,-1,3,1,0,-1,2,0,0.75,1.1381803659589922
works in barracks,1,2,0,-3,2,3,1,2,-1,2,1,0,0.8333333333333334,1.6422453217986943
works in the morning,1,1,0,-2,-2,-3,2,1,-2,2,0,1,-0.08333333333333333,1.729862492345632
works in the weekend,-1,1,0,-1,-1,-1,-2,0,1,2,1,1,0.0,1.2060453783110545
works on an airplane,1,2,0,-3,2,1,1,2,1,2,1,0,0.8333333333333334,1.403458930534474
works with children,1,2,2,-1,1,1,1,2,1,2,1,0,1.0833333333333333,0.90033663737852
works with children or disabled persons,0,2,1,-2,2,2,1,2,2,2,1,0,1.0833333333333333,1.2401124093721456
works with computers,-1,1,0,1,1,-2,2,1,0,-2,1,0,0.16666666666666666,1.2673044646258473
works with his hands,2,1,1,1,0,-3,1,2,2,0,1,0,0.6666666666666666,1.3706888336846839
works with sportsmen,0,2,2,-3,1,-1,-2,2,0,2,1,0,0.3333333333333333,1.6696942198734437
works with the Internet,-2,1,0,1,-3,-2,1,-1,0,0,0,0,-0.4166666666666667,1.3113721705515067
